Data Registrazione;Data valuta;Descrizione;Importo (EUR);
05.02.2026;03.02.2026;COMMISSIONI - PROVVIGIONI - SPESE                 PAGAMENTO MASTERCARD E-Commerce del 03/02/2026    CARTA *0442    DI USD           57,62             REPLIT, INC.              FOSTER CITY             COMMISSIONE PER OPERAZIONE IN VALUTA EXTRA EURO;-0,86;
05.02.2026;03.02.2026;PAGAMENTO POS                                     PAGAMENTO MASTERCARD E-Commerce del 03/02/2026    CARTA *0442    DI USD           57,62             REPLIT, INC.                                      FOSTER CITY;-48,93;
05.02.2026;03.02.2026;COMMISSIONI - PROVVIGIONI - SPESE                 PAGAMENTO MASTERCARD E-Commerce del 03/02/2026    CARTA *0442    DI USD           52,69             REPLIT, INC.              FOSTER CITY             COMMISSIONE PER OPERAZIONE IN VALUTA EXTRA EURO;-0,78;
05.02.2026;03.02.2026;PAGAMENTO POS                                     PAGAMENTO MASTERCARD E-Commerce del 03/02/2026    CARTA *0442    DI USD           52,69             REPLIT, INC.                                      FOSTER CITY;-44,69;
04.02.2026;02.02.2026;COMMISSIONI - PROVVIGIONI - SPESE                 PAGAMENTO MASTERCARD E-Commerce del 02/02/2026    CARTA *0442    DI USD           56,55             REPLIT, INC.              FOSTER CITY             COMMISSIONE PER OPERAZIONE IN VALUTA EXTRA EURO;-0,84;
04.02.2026;02.02.2026;PAGAMENTO MASTERCARD E-Commerce del 02/02/2026    CARTA *0442    DI USD           56,55             REPLIT, INC.                                      FOSTER CITY;-47,97;
04.02.2026;02.02.2026;COMMISSIONI - PROVVIGIONI - SPESE                 PAGAMENTO MASTERCARD E-Commerce del 02/02/2026    CARTA *0442    DI USD           50,27             REPLIT, INC.              FOSTER CITY             COMMISSIONE PER OPERAZIONE IN VALUTA EXTRA EURO;-0,74;
04.02.2026;02.02.2026;PAGAMENTO MASTERCARD E-Commerce del 02/02/2026    CARTA *0442    DI USD           50,27             REPLIT, INC.                                      FOSTER CITY;-42,35;
03.02.2026;01.02.2026;COMMISSIONI - PROVVIGIONI - SPESE                 PAGAMENTO MASTERCARD E-Commerce del 01/02/2026    CARTA *0442    DI USD           55,65             REPLIT, INC.              FOSTER CITY             COMMISSIONE PER OPERAZIONE IN VALUTA EXTRA EURO;-0,82;
03.02.2026;01.02.2026;PAGAMENTO MASTERCARD E-Commerce del 01/02/2026    CARTA *0442    DI USD           55,65             REPLIT, INC.                                      FOSTER CITY;-46,88;
03.02.2026;01.02.2026;COMMISSIONI - PROVVIGIONI - SPESE                 PAGAMENTO MASTERCARD E-Commerce del 01/02/2026    CARTA *0442    DI USD           50,90             REPLIT, INC.              FOSTER CITY             COMMISSIONE PER OPERAZIONE IN VALUTA EXTRA EURO;-0,75;
03.02.2026;01.02.2026;PAGAMENTO MASTERCARD E-Commerce del 01/02/2026    CARTA *0442    DI USD           50,90             REPLIT, INC.                                      FOSTER CITY;-42,88;
02.02.2026;31.01.2026;COMMISSIONI - PROVVIGIONI - SPESE                 PAGAMENTO MASTERCARD E-Commerce del 31/01/2026    CARTA *0442    DI USD           55,04             REPLIT, INC.              FOSTER CITY             COMMISSIONE PER OPERAZIONE IN VALUTA EXTRA EURO;-0,81;
02.02.2026;31.01.2026;PAGAMENTO MASTERCARD E-Commerce del 31/01/2026    CARTA *0442    DI USD           55,04             REPLIT, INC.                                      FOSTER CITY;-46,37;
02.02.2026;30.01.2026;COMMISSIONI - PROVVIGIONI - SPESE                 PAGAMENTO MASTERCARD E-Commerce del 30/01/2026    CARTA *0442    DI USD           50,69             REPLIT, INC.              FOSTER CITY             COMMISSIONE PER OPERAZIONE IN VALUTA EXTRA EURO;-0,75;
02.02.2026;30.01.2026;PAGAMENTO MASTERCARD E-Commerce del 30/01/2026    CARTA *0442    DI USD           50,69             REPLIT, INC.                                      FOSTER CITY;-42,70;
02.02.2026;30.01.2026;COMMISSIONI - PROVVIGIONI - SPESE                 PAGAMENTO MASTERCARD E-Commerce del 30/01/2026    CARTA *0442    DI USD           51,29             REPLIT, INC.              FOSTER CITY             COMMISSIONE PER OPERAZIONE IN VALUTA EXTRA EURO;-0,75;
02.02.2026;30.01.2026;PAGAMENTO MASTERCARD E-Commerce del 30/01/2026    CARTA *0442    DI USD           51,29             REPLIT, INC.                                      FOSTER CITY;-43,12;
02.02.2026;29.01.2026;COMMISSIONI - PROVVIGIONI - SPESE                 PAGAMENTO MASTERCARD E-Commerce del 29/01/2026    CARTA *0442    DI USD           50,33             REPLIT, INC.              FOSTER CITY             COMMISSIONE PER OPERAZIONE IN VALUTA EXTRA EURO;-0,74;
02.02.2026;29.01.2026;PAGAMENTO MASTERCARD E-Commerce del 29/01/2026    CARTA *0442    DI USD           50,33             REPLIT, INC.                                      FOSTER CITY;-42,31;
